주,week
년,year
오늘,today
내일,tomorrow
어제,yesterday
달력,calendar
초,second
시,hour
분,minute
정각,o'clock
시계,clock
할 수 있다,can
사용하다,use
하다,do
가다,go
오다,come
웃다,laugh
만들다,make
보다,see
멀리,far
작은,small
좋은,good
아름다운,beautiful
못생긴,ugly
어려운,difficult
쉬운,easy
나쁜,bad
가까이에,near
만나서 반가워요,nice to meet you
안녕,hello
좋은 아침이에요,good morning
안녕하세요,good afternoon
안녕하세요,good evening
안녕히 주무세요,good night
어떻게 지내세요,how are you
고마워요,thank you
아니요,no
맛있어요,delicious
저는 라고 합니다,i'm(name)
잘 가요,goodbye
네,yes
월요일,monday
화요일,tuesday
수요일,wednesday
목요일,thursday
금요일,friday
토요일,saturday
일요일,sunday
오월,may
일월,january
이월,february
삼월,march
사월,april
유월,june
칠월,july
팔월,august
구월,september
시월,october
십일월,november
십이월,december
영,zero
일,one
이,two
삼,three
사,four
오,five
육,six
칠,seven
팔,eight
구,nine
십,ten
커피,coffee
맥주,beer
차,tea
포도주,wine
물,water
쇠고기,beef
돼지고기,pork
닭고기,chicken
양고기,lamb
생선,fish
발,foot
다리,leg
머리,head
팔,arm
손,hand
손가락,finger
몸,body
배,stomach
등,back
가슴,chest
간호사,nurse
직원,employee
경찰관,police officer
요리사,cook
엔지니어,engineer
의사,doctor
매니저,manager
선생님,teacher
프로그래머,programmer
판매원,salesman
